Id,Label,Authority,Hub,modularity_class,pageranks,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree
27067391,,0.000002,0.000864,22,0.000027,2,16,18,2,16,18
26852130,,0.000001,0.00013,2,0.000016,1,8,9,1,8,9
26670335,,0,0.000155,23,0.000013,0,3,3,0,3,3
25985138,,0,0.000086,22,0.000013,0,5,5,0,5,5
25948282,,0.000183,0.00033,22,0.000048,13,17,30,13,17,30
24312913,,0.000331,0.000797,2,0.000066,18,45,63,18,45,63
23683081,,0.000173,0.001008,2,0.000041,12,10,22,12,10,22
23442605,,0,0.000037,2,0.000013,0,2,2,0,2,2
21232165,,0.000109,0.001326,2,0.000019,5,11,16,5,11,16
19584580,,0.000038,0.000336,28,0.000057,6,3,9,6,3,9
12610208,,0.000764,0.000316,0,0.00079,43,4,47,43,4,47
11532935,,0.006157,0.000118,8,0.017515,112,5,117,112,5,117
11157798,,0,0.000005,2,0.000013,0,1,1,0,1,1
11011113,,0,0.000005,2,0.000013,0,1,1,0,1,1
